,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
1195,1195,86.0,1.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,273.25,0.942241370677948,0.6771653543307087,0.45855291710583423,0.3105161485913523,0.942241370677948,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,86.0,64.0,22.0
1196,1196,60.0,1.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,273.5,0.9431034326553345,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.9431034326553345,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,88.0,60.0,28.0
1197,1197,88.0,1.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,273.5,0.9431034326553345,0.6929133858267716,0.4801289602579205,0.3326877834858032,0.9431034326553345,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,88.0,60.0,28.0
1198,1198,64.0,1.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,273.75,0.943965494632721,0.5039370078740157,0.25395250790501583,0.127976066975756,0.943965494632721,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,86.0,64.0,22.0
1199,1199,86.0,1.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,273.75,0.943965494632721,0.6771653543307087,0.45855291710583423,0.3105161485913523,0.943965494632721,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,86.0,64.0,22.0
1200,1200,55.0,2.0,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,274.0,0.9448275566101074,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.9448275566101074,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,84.0,55.0,29.0
1201,1201,84.0,2.0,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,274.0,0.9448275566101074,0.6614173228346457,0.4374728749457499,0.2893521377593936,0.9448275566101074,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,84.0,55.0,29.0
1202,1202,64.0,2.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,274.25,0.9456896781921387,0.5039370078740157,0.25395250790501583,0.127976066975756,0.9456896781921387,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,83.0,64.0,19.0
1203,1203,83.0,2.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,274.25,0.9456896781921387,0.6535433070866141,0.42711885423770846,0.27914066851755753,0.9456896781921387,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,83.0,64.0,19.0
1204,1204,60.0,2.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,274.5,0.9465517401695251,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.9465517401695251,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,81.0,60.0,21.0
